2025-05-30 11:30:33,692 - INFO - MainThread - Scalable Server listening on 0.0.0.0:8889 with 1 workers
2025-05-30 11:30:49,159 - INFO - Worker_0 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 38436)
2025-05-30 11:30:49,159 - INFO - Worker_0 - Closed connection from ('172.16.16.102', 38436)
2025-05-30 11:30:49,160 - INFO - Worker_0 - Connection from ('172.16.16.102', 38438) assigned to thread Worker_0
2025-05-30 11:30:49,652 - INFO - Worker_0 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 38438)
2025-05-30 11:30:49,652 - INFO - Worker_0 - Closed connection from ('172.16.16.102', 38438)
2025-05-30 11:30:49,653 - INFO - Worker_0 - Connection from ('172.16.16.102', 38446) assigned to thread Worker_0
2025-05-30 11:30:50,102 - INFO - Worker_0 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 38446)
2025-05-30 11:30:50,103 - INFO - Worker_0 - Closed connection from ('172.16.16.102', 38446)
2025-05-30 11:30:50,103 - INFO - Worker_0 - Connection from ('172.16.16.102', 38460) assigned to thread Worker_0
2025-05-30 11:30:50,561 - INFO - Worker_0 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 38460)
2025-05-30 11:30:50,561 - INFO - Worker_0 - Closed connection from ('172.16.16.102', 38460)
2025-05-30 11:30:50,562 - INFO - Worker_0 - Connection from ('172.16.16.102', 38474) assigned to thread Worker_0
2025-05-30 11:30:51,059 - INFO - Worker_0 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 38474)
2025-05-30 11:30:51,059 - INFO - Worker_0 - Closed connection from ('172.16.16.102', 38474)
2025-05-30 11:30:51,060 - INFO - Worker_0 - Connection from ('172.16.16.102', 38484) assigned to thread Worker_0
2025-05-30 11:30:51,551 - INFO - Worker_0 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 38484)
2025-05-30 11:30:51,552 - INFO - Worker_0 - Closed connection from ('172.16.16.102', 38484)
2025-05-30 11:30:51,552 - INFO - Worker_0 - Connection from ('172.16.16.102', 38500) assigned to thread Worker_0
2025-05-30 11:30:52,060 - INFO - Worker_0 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 38500)
2025-05-30 11:30:52,060 - INFO - Worker_0 - Closed connection from ('172.16.16.102', 38500)
2025-05-30 11:30:52,061 - INFO - Worker_0 - Connection from ('172.16.16.102', 38512) assigned to thread Worker_0
2025-05-30 11:30:52,559 - INFO - Worker_0 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 38512)
2025-05-30 11:30:52,560 - INFO - Worker_0 - Closed connection from ('172.16.16.102', 38512)
2025-05-30 11:30:52,560 - INFO - Worker_0 - Connection from ('172.16.16.102', 38514) assigned to thread Worker_0
2025-05-30 11:30:53,023 - INFO - Worker_0 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 38514)
2025-05-30 11:30:53,024 - INFO - Worker_0 - Closed connection from ('172.16.16.102', 38514)
2025-05-30 11:30:53,024 - INFO - Worker_0 - Connection from ('172.16.16.102', 38526) assigned to thread Worker_0
2025-05-30 11:30:53,465 - INFO - Worker_0 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 38526)
2025-05-30 11:30:53,466 - INFO - Worker_0 - Closed connection from ('172.16.16.102', 38526)
2025-05-30 11:30:53,466 - INFO - Worker_0 - Connection from ('172.16.16.102', 38538) assigned to thread Worker_0
2025-05-30 11:30:53,909 - INFO - Worker_0 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 38538)
2025-05-30 11:30:53,909 - INFO - Worker_0 - Closed connection from ('172.16.16.102', 38538)
2025-05-30 11:30:53,910 - INFO - Worker_0 - Connection from ('172.16.16.102', 38542) assigned to thread Worker_0
2025-05-30 11:30:54,357 - INFO - Worker_0 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 38542)
2025-05-30 11:30:54,358 - INFO - Worker_0 - Closed connection from ('172.16.16.102', 38542)
2025-05-30 11:30:54,358 - INFO - Worker_0 - Connection from ('172.16.16.102', 38552) assigned to thread Worker_0
2025-05-30 11:30:54,811 - INFO - Worker_0 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 38552)
2025-05-30 11:30:54,812 - INFO - Worker_0 - Closed connection from ('172.16.16.102', 38552)
2025-05-30 11:30:54,812 - INFO - Worker_0 - Connection from ('172.16.16.102', 38554) assigned to thread Worker_0
2025-05-30 11:30:55,269 - INFO - Worker_0 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 38554)
2025-05-30 11:30:55,269 - INFO - Worker_0 - Closed connection from ('172.16.16.102', 38554)
2025-05-30 11:30:55,269 - INFO - Worker_0 - Connection from ('172.16.16.102', 38556) assigned to thread Worker_0
2025-05-30 11:30:55,751 - INFO - Worker_0 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 38556)
2025-05-30 11:30:55,751 - INFO - Worker_0 - Closed connection from ('172.16.16.102', 38556)
2025-05-30 11:30:55,752 - INFO - Worker_0 - Connection from ('172.16.16.102', 38566) assigned to thread Worker_0
2025-05-30 11:30:56,201 - INFO - Worker_0 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 38566)
2025-05-30 11:30:56,201 - INFO - Worker_0 - Closed connection from ('172.16.16.102', 38566)
2025-05-30 11:30:56,202 - INFO - Worker_0 - Connection from ('172.16.16.102', 38580) assigned to thread Worker_0
2025-05-30 11:30:56,649 - INFO - Worker_0 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 38580)
2025-05-30 11:30:56,649 - INFO - Worker_0 - Closed connection from ('172.16.16.102', 38580)
2025-05-30 11:30:56,651 - INFO - Worker_0 - Connection from ('172.16.16.102', 38586) assigned to thread Worker_0
2025-05-30 11:30:57,176 - INFO - Worker_0 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 38586)
2025-05-30 11:30:57,177 - INFO - Worker_0 - Closed connection from ('172.16.16.102', 38586)
2025-05-30 11:30:57,177 - INFO - Worker_0 - Connection from ('172.16.16.102', 38588) assigned to thread Worker_0
2025-05-30 11:30:57,678 - INFO - Worker_0 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 38588)
2025-05-30 11:30:57,679 - INFO - Worker_0 - Closed connection from ('172.16.16.102', 38588)
2025-05-30 11:30:57,679 - INFO - Worker_0 - Connection from ('172.16.16.102', 38592) assigned to thread Worker_0
2025-05-30 11:30:58,179 - INFO - Worker_0 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 38592)
2025-05-30 11:30:58,180 - INFO - Worker_0 - Closed connection from ('172.16.16.102', 38592)
2025-05-30 11:30:58,180 - INFO - Worker_0 - Connection from ('172.16.16.102', 38594) assigned to thread Worker_0
2025-05-30 11:30:58,710 - INFO - Worker_0 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 38594)
2025-05-30 11:30:58,710 - INFO - Worker_0 - Closed connection from ('172.16.16.102', 38594)
2025-05-30 11:30:58,711 - INFO - Worker_0 - Connection from ('172.16.16.102', 38600) assigned to thread Worker_0
2025-05-30 11:30:59,166 - INFO - Worker_0 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 38600)
2025-05-30 11:30:59,166 - INFO - Worker_0 - Closed connection from ('172.16.16.102', 38600)
2025-05-30 11:30:59,166 - INFO - Worker_0 - Connection from ('172.16.16.102', 38604) assigned to thread Worker_0
2025-05-30 11:30:59,633 - INFO - Worker_0 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 38604)
2025-05-30 11:30:59,634 - INFO - Worker_0 - Closed connection from ('172.16.16.102', 38604)
2025-05-30 11:30:59,634 - INFO - Worker_0 - Connection from ('172.16.16.102', 38620) assigned to thread Worker_0
2025-05-30 11:31:00,112 - INFO - Worker_0 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 38620)
2025-05-30 11:31:00,113 - INFO - Worker_0 - Closed connection from ('172.16.16.102', 38620)
2025-05-30 11:31:00,113 - INFO - Worker_0 - Connection from ('172.16.16.102', 38630) assigned to thread Worker_0
2025-05-30 11:31:00,527 - INFO - Worker_0 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 38630)
2025-05-30 11:31:00,527 - INFO - Worker_0 - Closed connection from ('172.16.16.102', 38630)
2025-05-30 11:31:00,527 - INFO - Worker_0 - Connection from ('172.16.16.102', 38646) assigned to thread Worker_0
2025-05-30 11:31:00,989 - INFO - Worker_0 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 38646)
2025-05-30 11:31:00,989 - INFO - Worker_0 - Closed connection from ('172.16.16.102', 38646)
2025-05-30 11:31:00,990 - INFO - Worker_0 - Connection from ('172.16.16.102', 38658) assigned to thread Worker_0
2025-05-30 11:31:01,431 - INFO - Worker_0 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 38658)
2025-05-30 11:31:01,431 - INFO - Worker_0 - Closed connection from ('172.16.16.102', 38658)
2025-05-30 11:31:01,431 - INFO - Worker_0 - Connection from ('172.16.16.102', 38664) assigned to thread Worker_0
2025-05-30 11:31:01,925 - INFO - Worker_0 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 38664)
2025-05-30 11:31:01,925 - INFO - Worker_0 - Closed connection from ('172.16.16.102', 38664)
2025-05-30 11:31:01,926 - INFO - Worker_0 - Connection from ('172.16.16.102', 38678) assigned to thread Worker_0
2025-05-30 11:31:02,411 - INFO - Worker_0 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 38678)
2025-05-30 11:31:02,412 - INFO - Worker_0 - Closed connection from ('172.16.16.102', 38678)
2025-05-30 11:31:02,412 - INFO - Worker_0 - Connection from ('172.16.16.102', 38682) assigned to thread Worker_0
2025-05-30 11:31:02,895 - INFO - Worker_0 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 38682)
2025-05-30 11:31:02,895 - INFO - Worker_0 - Closed connection from ('172.16.16.102', 38682)
2025-05-30 11:31:02,896 - INFO - Worker_0 - Connection from ('172.16.16.102', 38694) assigned to thread Worker_0
2025-05-30 11:31:03,356 - INFO - Worker_0 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 38694)
2025-05-30 11:31:03,356 - INFO - Worker_0 - Closed connection from ('172.16.16.102', 38694)
2025-05-30 11:31:03,356 - INFO - Worker_0 - Connection from ('172.16.16.102', 38710) assigned to thread Worker_0
2025-05-30 11:31:03,868 - INFO - Worker_0 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 38710)
2025-05-30 11:31:03,868 - INFO - Worker_0 - Closed connection from ('172.16.16.102', 38710)
2025-05-30 11:31:03,868 - INFO - Worker_0 - Connection from ('172.16.16.102', 38720) assigned to thread Worker_0
2025-05-30 11:31:04,368 - INFO - Worker_0 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 38720)
2025-05-30 11:31:04,369 - INFO - Worker_0 - Closed connection from ('172.16.16.102', 38720)
2025-05-30 11:31:04,369 - INFO - Worker_0 - Connection from ('172.16.16.102', 38740) assigned to thread Worker_0
2025-05-30 11:31:04,866 - INFO - Worker_0 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 38740)
2025-05-30 11:31:04,867 - INFO - Worker_0 - Closed connection from ('172.16.16.102', 38740)
2025-05-30 11:31:04,867 - INFO - Worker_0 - Connection from ('172.16.16.102', 38732) assigned to thread Worker_0
2025-05-30 11:31:05,337 - INFO - Worker_0 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 38732)
2025-05-30 11:31:05,338 - INFO - Worker_0 - Closed connection from ('172.16.16.102', 38732)
2025-05-30 11:31:05,338 - INFO - Worker_0 - Connection from ('172.16.16.102', 38742) assigned to thread Worker_0
2025-05-30 11:31:05,815 - INFO - Worker_0 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 38742)
2025-05-30 11:31:05,815 - INFO - Worker_0 - Closed connection from ('172.16.16.102', 38742)
2025-05-30 11:31:05,816 - INFO - Worker_0 - Connection from ('172.16.16.102', 38744) assigned to thread Worker_0
2025-05-30 11:31:06,304 - INFO - Worker_0 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 38744)
2025-05-30 11:31:06,305 - INFO - Worker_0 - Closed connection from ('172.16.16.102', 38744)
2025-05-30 11:31:06,305 - INFO - Worker_0 - Connection from ('172.16.16.102', 38758) assigned to thread Worker_0
2025-05-30 11:31:06,803 - INFO - Worker_0 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 38758)
2025-05-30 11:31:06,803 - INFO - Worker_0 - Closed connection from ('172.16.16.102', 38758)
2025-05-30 11:31:42,648 - INFO - Worker_0 - Connection from ('172.16.16.102', 36922) assigned to thread Worker_0
2025-05-30 11:31:45,091 - INFO - Worker_0 - OK: Stream-decoded and saved file_50mb.txt from ('172.16.16.102', 36922)
2025-05-30 11:31:45,092 - INFO - Worker_0 - Closed connection from ('172.16.16.102', 36922)
2025-05-30 11:31:45,740 - INFO - Worker_0 - Connection from ('172.16.16.102', 36938) assigned to thread Worker_0
2025-05-30 11:31:48,297 - INFO - Worker_0 - OK: Stream-decoded and saved file_50mb.txt from ('172.16.16.102', 36938)
2025-05-30 11:31:48,297 - INFO - Worker_0 - Closed connection from ('172.16.16.102', 36938)
2025-05-30 11:31:48,298 - INFO - Worker_0 - Connection from ('172.16.16.102', 36954) assigned to thread Worker_0
2025-05-30 11:31:50,548 - INFO - Worker_0 - OK: Stream-decoded and saved file_50mb.txt from ('172.16.16.102', 36954)
2025-05-30 11:31:50,549 - INFO - Worker_0 - Closed connection from ('172.16.16.102', 36954)
2025-05-30 11:31:50,549 - INFO - Worker_0 - Connection from ('172.16.16.102', 36970) assigned to thread Worker_0
2025-05-30 11:31:52,896 - INFO - Worker_0 - OK: Stream-decoded and saved file_50mb.txt from ('172.16.16.102', 36970)
2025-05-30 11:31:52,897 - INFO - Worker_0 - Closed connection from ('172.16.16.102', 36970)
2025-05-30 11:31:52,897 - INFO - Worker_0 - Connection from ('172.16.16.102', 36974) assigned to thread Worker_0
2025-05-30 11:31:55,183 - INFO - Worker_0 - OK: Stream-decoded and saved file_50mb.txt from ('172.16.16.102', 36974)
2025-05-30 11:31:55,184 - INFO - Worker_0 - Closed connection from ('172.16.16.102', 36974)
2025-05-30 11:31:55,184 - INFO - Worker_0 - Connection from ('172.16.16.102', 36986) assigned to thread Worker_0
2025-05-30 11:31:57,424 - INFO - Worker_0 - OK: Stream-decoded and saved file_50mb.txt from ('172.16.16.102', 36986)
2025-05-30 11:31:57,424 - INFO - Worker_0 - Closed connection from ('172.16.16.102', 36986)
2025-05-30 11:32:02,632 - INFO - Worker_0 - Connection from ('172.16.16.102', 40434) assigned to thread Worker_0
2025-05-30 11:32:23,700 - INFO - Worker_0 - OK: Stream-decoded and saved file_50mb.txt from ('172.16.16.102', 40434)
2025-05-30 11:32:23,702 - INFO - Worker_0 - Closed connection from ('172.16.16.102', 40434)
2025-05-30 11:32:23,702 - INFO - Worker_0 - Connection from ('172.16.16.102', 40446) assigned to thread Worker_0
2025-05-30 11:32:26,114 - INFO - Worker_0 - OK: Stream-decoded and saved file_50mb.txt from ('172.16.16.102', 40446)
2025-05-30 11:32:26,115 - INFO - Worker_0 - Closed connection from ('172.16.16.102', 40446)
2025-05-30 11:32:26,116 - INFO - Worker_0 - Connection from ('172.16.16.102', 40462) assigned to thread Worker_0
2025-05-30 11:32:28,457 - INFO - Worker_0 - OK: Stream-decoded and saved file_50mb.txt from ('172.16.16.102', 40462)
2025-05-30 11:32:28,457 - INFO - Worker_0 - Closed connection from ('172.16.16.102', 40462)
2025-05-30 11:32:28,458 - INFO - Worker_0 - Connection from ('172.16.16.102', 40464) assigned to thread Worker_0
2025-05-30 11:32:30,786 - INFO - Worker_0 - OK: Stream-decoded and saved file_50mb.txt from ('172.16.16.102', 40464)
2025-05-30 11:32:30,787 - INFO - Worker_0 - Closed connection from ('172.16.16.102', 40464)
2025-05-30 11:32:30,787 - INFO - Worker_0 - Connection from ('172.16.16.102', 40494) assigned to thread Worker_0
2025-05-30 11:32:33,058 - INFO - Worker_0 - OK: Stream-decoded and saved file_50mb.txt from ('172.16.16.102', 40494)
2025-05-30 11:32:33,058 - INFO - Worker_0 - Closed connection from ('172.16.16.102', 40494)
2025-05-30 11:32:33,059 - INFO - Worker_0 - Connection from ('172.16.16.102', 40484) assigned to thread Worker_0
2025-05-30 11:32:35,423 - INFO - Worker_0 - OK: Stream-decoded and saved file_50mb.txt from ('172.16.16.102', 40484)
2025-05-30 11:32:35,424 - INFO - Worker_0 - Closed connection from ('172.16.16.102', 40484)
